"Step","20260203_145728_traj_reward_fresh_configA_age1500 - critic/score/mean","20260203_145728_traj_reward_fresh_configA_age1500 - critic/score/mean__MIN","20260203_145728_traj_reward_fresh_configA_age1500 - critic/score/mean__MAX","20260203_145221_traj_reward_fresh_configA_age1000 - critic/score/mean","20260203_145221_traj_reward_fresh_configA_age1000 - critic/score/mean__MIN","20260203_145221_traj_reward_fresh_configA_age1000 - critic/score/mean__MAX","20260203_144832_traj_reward_fresh_configA - critic/score/mean","20260203_144832_traj_reward_fresh_configA - critic/score/mean__MIN","20260203_144832_traj_reward_fresh_configA - critic/score/mean__MAX","20260203_141744_traj_reward_fresh - critic/score/mean","20260203_141744_traj_reward_fresh - critic/score/mean__MIN","20260203_141744_traj_reward_fresh - critic/score/mean__MAX","20260201_191930_traj_reward_fresh_configA_IS - critic/score/mean","20260201_191930_traj_reward_fresh_configA_IS - critic/score/mean__MIN","20260201_191930_traj_reward_fresh_configA_IS - critic/score/mean__MAX","20260201_191332_traj_reward_fresh - critic/score/mean","20260201_191332_traj_reward_fresh - critic/score/mean__MIN","20260201_191332_traj_reward_fresh - critic/score/mean__MAX","20260131_160147_step_reward_fresh_configA - critic/score/mean","20260131_160147_step_reward_fresh_configA - critic/score/mean__MIN","20260131_160147_step_reward_fresh_configA - critic/score/mean__MAX","20260131_160100_step_reward_fresh - critic/score/mean","20260131_160100_step_reward_fresh - critic/score/mean__MIN","20260131_160100_step_reward_fresh - critic/score/mean__MAX","20260131_155522_traj_reward_fresh - critic/score/mean","20260131_155522_traj_reward_fresh - critic/score/mean__MIN","20260131_155522_traj_reward_fresh - critic/score/mean__MAX","20260131_155911_traj_reward_fresh_configA - critic/score/mean","20260131_155911_traj_reward_fresh_configA - critic/score/mean__MIN","20260131_155911_traj_reward_fresh_configA - critic/score/mean__MAX"
"36","0.2109375","0.2109375","0.2109375","0.2734375","0.2734375","0.2734375","0.203125","0.203125","0.203125","0","0","0","0.1875","0.1875","0.1875","0","0","0","0.2016129046678543","0.2016129046678543","0.2016129046678543","0.14173229038715363","0.14173229038715363","0.14173229038715363","0","0","0","0.171875","0.171875","0.171875"
"37","0.140625","0.140625","0.140625","0.265625","0.265625","0.265625","0.171875","0.171875","0.171875","0.0078125","0.0078125","0.0078125","0.125","0.125","0.125","0","0","0","0.08870967477560043","0.08870967477560043","0.08870967477560043","0.15447154641151428","0.15447154641151428","0.15447154641151428","0.0078125","0.0078125","0.0078125","0.140625","0.140625","0.140625"
"38","0.1484375","0.1484375","0.1484375","0.21875","0.21875","0.21875","0.1875","0.1875","0.1875","0.0078125","0.0078125","0.0078125","0.21875","0.21875","0.21875","0.0078125","0.0078125","0.0078125","0.1484375","0.1484375","0.1484375","0.1735537201166153","0.1735537201166153","0.1735537201166153","0","0","0","0.140625","0.140625","0.140625"
"39","0.140625","0.140625","0.140625","0.21875","0.21875","0.21875","0.2109375","0.2109375","0.2109375","0.0078125","0.0078125","0.0078125","0.25","0.25","0.25","0","0","0","0.230158731341362","0.230158731341362","0.230158731341362","0.11811023950576782","0.11811023950576782","0.11811023950576782","0.015625","0.015625","0.015625","0.203125","0.203125","0.203125"
"40","0.1640625","0.1640625","0.1640625","0.1875","0.1875","0.1875","0.25","0.25","0.25","0.015625","0.015625","0.015625","0.2265625","0.2265625","0.2265625","0.015625","0.015625","0.015625","0.1599999964237213","0.1599999964237213","0.1599999964237213","0.12598425149917603","0.12598425149917603","0.12598425149917603","0.0078125","0.0078125","0.0078125","0.28125","0.28125","0.28125"
"41","0.078125","0.078125","0.078125","0.1953125","0.1953125","0.1953125","0.234375","0.234375","0.234375","0.015625","0.015625","0.015625","0.265625","0.265625","0.265625","0.015625","0.015625","0.015625","0.17322835326194763","0.17322835326194763","0.17322835326194763","0.2049180269241333","0.2049180269241333","0.2049180269241333","0","0","0","0.15625","0.15625","0.15625"
"42","0.140625","0.140625","0.140625","0.2890625","0.2890625","0.2890625","0.1953125","0.1953125","0.1953125","0","0","0","0.265625","0.265625","0.265625","0","0","0","0.21875","0.21875","0.21875","0.1349206417798996","0.1349206417798996","0.1349206417798996","0.015625","0.015625","0.015625","0.203125","0.203125","0.203125"
"43","0.125","0.125","0.125","0.203125","0.203125","0.203125","0.25","0.25","0.25","0.0078125","0.0078125","0.0078125","0.1953125","0.1953125","0.1953125","0","0","0","0.2195121943950653","0.2195121943950653","0.2195121943950653","0.1746031790971756","0.1746031790971756","0.1746031790971756","0.0078125","0.0078125","0.0078125","0.203125","0.203125","0.203125"
"44","0.1953125","0.1953125","0.1953125","0.25","0.25","0.25","0.21875","0.21875","0.21875","0","0","0","0.234375","0.234375","0.234375","0.0078125","0.0078125","0.0078125","0.1120000034570694","0.1120000034570694","0.1120000034570694","0.095238097012043","0.095238097012043","0.095238097012043","0.0078125","0.0078125","0.0078125","0.171875","0.171875","0.171875"
"45","0.1015625","0.1015625","0.1015625","0.2578125","0.2578125","0.2578125","0.21875","0.21875","0.21875","0.015625","0.015625","0.015625","0.1328125","0.1328125","0.1328125","0","0","0","0.11811023950576782","0.11811023950576782","0.11811023950576782","0.15748031437397003","0.15748031437397003","0.15748031437397003","0","0","0","0.3046875","0.3046875","0.3046875"
"46","0.1640625","0.1640625","0.1640625","0.1875","0.1875","0.1875","0.2265625","0.2265625","0.2265625","0","0","0","0.21875","0.21875","0.21875","0","0","0","0.19200000166893005","0.19200000166893005","0.19200000166893005","0.11811023950576782","0.11811023950576782","0.11811023950576782","0","0","0","0.15625","0.15625","0.15625"
"47","0.078125","0.078125","0.078125","0.265625","0.265625","0.265625","0.1484375","0.1484375","0.1484375","0","0","0","0.21875","0.21875","0.21875","0.015625","0.015625","0.015625","0.140625","0.140625","0.140625","0.14960630238056183","0.14960630238056183","0.14960630238056183","0.015625","0.015625","0.015625","0.125","0.125","0.125"
"48","0.140625","0.140625","0.140625","0.2890625","0.2890625","0.2890625","0.2578125","0.2578125","0.2578125","0","0","0","0.1875","0.1875","0.1875","0","0","0","0.26829269528388977","0.26829269528388977","0.26829269528388977","0.18110236525535583","0.18110236525535583","0.18110236525535583","0.0078125","0.0078125","0.0078125","0.25","0.25","0.25"
